ability 能力
building 建筑物；大楼
business 商业；事务
but 但是
buy 买；购买
by 通过；由
call 打电话；叫
camera 相机；摄像机
campaign 运动；战役
can 能；可以
candidate 候选人
capital 首都；资本
car 汽车
card 卡片；纸牌
care 关心；照顾
career 职业；生涯
carry 携带；运送
case 情况；案例
catch 抓住；赶上
cause 原因；导致
cell 细胞；小房间
center 中心；中央
central 中央的；主要的
century 世纪
certain 某些；确定的
certainly 当然；肯定地
chair 椅子；主席
challenge 挑战；质疑
chance 机会；可能性
change 改变；变化
character 性格；角色
charge 收费；指控
check 检查；支票
child 孩子
choice 选择
choose 选择
church 教堂；教会
citizen 公民
city 城市
civil 公民的；文明的
claim 声称；要求
class 班级；阶级
clear 清楚的；明显的
clearly 清楚地；明显地
close 关闭；靠近
coach 教练；指导
cold 冷的；感冒
collection 收集；收藏
college 大学
color 颜色
come 来；到达
commercial 商业的；广告
common 共同的；普通的
community 社区；社会
company 公司；陪伴
compare 比较
competition 竞争；比赛
complete 完成；完整的
completely 完全地
computer 电脑；计算机
concern 关心；担忧
condition 条件；状况
conference 会议；讨论会
confidence 信心；信任
confirm 确认；证实
conflict 冲突；矛盾
congress 国会；代表大会
connect 连接；联系
consider 考虑；认为
consumer 消费者
contain 包含；容纳
continue 继续
control 控制；管理
conversation 谈话；会话
cook 烹饪；厨师
cool 凉爽的；酷的
copy 复制；副本
core 核心；要点
corner 角落；转角
corporate 公司的；法人的
correct 正确的；改正
cost 成本；花费
could 能够；可能
country 国家；乡村
couple 夫妇；几个
course 课程；过程
court 法院；球场
cover 覆盖；封面
create 创造；创建
crime 犯罪；罪行
cultural 文化的
culture 文化；修养
cup 杯子
current 当前的；流
customer 顾客；客户
cut 切；削减
dark 黑暗的；深色的
data 数据；资料
daughter 女儿
day 天；日
dead 死的；无生命的
deal 处理；交易
death 死亡
debate 辩论；讨论
decade 十年
decide 决定
decision 决定；决策
deep 深的；深刻的
defense 防御；辩护
degree 程度；学位
democratic 民主的
describe 描述
design 设计；计划
despite 尽管；不管
detail 细节；详情
determine 确定；决定
develop 发展；开发
development 发展；开发
die 死；消失
difference 差异；不同
different 不同的；有差异的
difficult 困难的
dinner 晚餐
direction 方向；指导
director 导演；主管
discover 发现
discuss 讨论
discussion 讨论；议论
disease 疾病
do 做；干
doctor 医生；博士
dog 狗
door 门
down 向下；沿着
draw 画；拉
dream 梦；梦想
drive 驾驶；驱动
drop 滴下；下降
drug 药物；毒品
during 在...期间
each 每个；各自
early 早的；早期的
east 东；东方
easy 容易的；轻松的
eat 吃
economic 经济的
economy 经济；节约
edge 边缘；优势
education 教育；教育学
effect 影响；效果
effort 努力；尝试
eight 八
either 两者之一；任一
election 选举
else 其他；别的
employee 雇员；职工
end 结束；终点
energy 能量；精力
enjoy 享受；喜欢
enough 足够的；充分地
enter 进入；加入
entire 整个的；全部的
environment 环境；周围状况
environmental 环境的
equal 相等的；平等的
especially 特别；尤其
establish 建立；确立
even 甚至；即使
evening 傍晚；晚上
event 事件；活动
ever 曾经；永远
every 每一；所有的
everybody 每个人；人人
everyone 每个人；人人
everything 每件事；一切
evidence 证据；证明
exactly 确切地；精确地
example 例子；榜样
executive 行政的；主管
exist 存在；生存
expect 期望；预料
experience 经验；经历
expert 专家；行家
explain 解释；说明
eye 眼睛
face 脸；面对
fact 事实；实际
factor 因素；要素
fail 失败；不及格
fall 落下；跌倒
family 家庭；家族
far 远的；遥远地
fast 快的；迅速地
father 父亲
fear 害怕；恐惧
federal 联邦的；联盟的
feel 感觉；摸索
feeling 感觉；情绪
few 很少的；几个
field 田地；领域
fight 打架；战斗
figure 数字；人物
fill 填满；装满
film 电影；胶片
final 最后的；决定性的
finally 最后；终于
financial 金融的；财政的
find 发现；找到
fine 好的；精细的
finger 手指
finish 完成；结束
fire 火；解雇
firm 公司；坚定的
first 第一；首先
fish 鱼；钓鱼
fit 适合；健康的
five 五
floor 地板；楼层
fly 飞；飞行
focus 焦点；集中
follow 跟随；遵循
food 食物；食品
foot 脚；英尺
for 为了；对于
force 力量；强迫
foreign 外国的；外来的
forget 忘记
form 形式；形成
former 以前的；前任的
forward 向前；前进
four 四
free 自由的；免费的
friend 朋友
from 从；来自
front 前面；前线
full 满的；完全的
fund 基金；资金
future 将来；未来 
